epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.0794,1.03281,4.46206,1.07253,0.49428,0.33622,0.32537,0.22981,1.01163,1.74994,1.03322,0.000184463,0.000184463,0.000184463
2,70.4681,1.01662,1.8854,1.04894,0.50501,0.40689,0.46329,0.3208,1.05816,1.55327,1.08043,0.000366136,0.000366136,0.000366136
3,94.9262,1.00944,1.55352,1.04875,0.64166,0.50357,0.61641,0.43972,1.0209,1.34943,1.06167,0.000544138,0.000544138,0.000544138
4,119.415,1.01412,1.38804,1.04677,0.59856,0.55487,0.60123,0.43536,1.01747,1.18056,1.04402,0.000539487,0.000539487,0.000539487
5,143.821,0.98893,1.25991,1.04492,0.66702,0.64605,0.72546,0.51205,1.00067,1.0416,1.04302,0.000533982,0.000533982,0.000533982
6,168.701,0.95755,1.14249,1.02747,0.62212,0.74131,0.73037,0.5352,0.98778,0.93015,1.02423,0.000528478,0.000528478,0.000528478
7,192.827,0.95473,1.06136,1.02018,0.68842,0.75655,0.78916,0.58049,0.98539,0.80876,1.01999,0.000522974,0.000522974,0.000522974
8,217.554,0.93153,1.03453,1.02357,0.71612,0.65152,0.75206,0.56471,0.94722,0.93787,0.99825,0.000517469,0.000517469,0.000517469
9,241.735,0.91419,0.94796,1.00706,0.78567,0.79456,0.82507,0.60223,0.94096,0.74754,0.99432,0.000511965,0.000511965,0.000511965
10,266.422,0.92548,0.9562,1.00536,0.79142,0.80901,0.83897,0.64122,0.89007,0.71761,0.9679,0.00050646,0.00050646,0.00050646
11,291.122,0.88234,0.91459,0.98938,0.79993,0.81934,0.89088,0.68553,0.87991,0.69619,0.97529,0.000500956,0.000500956,0.000500956
12,316.011,0.88093,0.87422,0.9889,0.7657,0.79482,0.87505,0.68269,0.88487,0.65202,0.97004,0.000495452,0.000495452,0.000495452
13,340.334,0.87285,0.85948,0.99168,0.76289,0.82421,0.87004,0.67764,0.84845,0.66018,0.95034,0.000489947,0.000489947,0.000489947
14,364.677,0.86737,0.82142,0.98131,0.85939,0.82159,0.87538,0.67848,0.85036,0.68163,0.9617,0.000484443,0.000484443,0.000484443
15,389.025,0.84126,0.81789,0.9773,0.89631,0.77582,0.89407,0.71169,0.83732,0.61436,0.95332,0.000478938,0.000478938,0.000478938
16,413.574,0.85357,0.79392,0.98097,0.81101,0.78075,0.854,0.66206,0.86766,0.69034,0.95647,0.000473434,0.000473434,0.000473434
17,438.092,0.83663,0.76484,0.97516,0.86842,0.86002,0.89669,0.69483,0.85393,0.55704,0.95529,0.00046793,0.00046793,0.00046793
18,462.247,0.82994,0.7489,0.97617,0.8951,0.84981,0.91417,0.7044,0.87566,0.60339,0.96362,0.000462425,0.000462425,0.000462425
19,486.905,0.81708,0.74947,0.97041,0.84149,0.85853,0.91133,0.71983,0.8414,0.58152,0.95268,0.000456921,0.000456921,0.000456921
20,511.537,0.80798,0.7386,0.96056,0.92506,0.87749,0.93857,0.74998,0.8247,0.54298,0.9414,0.000451416,0.000451416,0.000451416
21,535.966,0.81271,0.72422,0.96368,0.86745,0.86095,0.90098,0.72878,0.81002,0.52713,0.92658,0.000445912,0.000445912,0.000445912
22,560.466,0.78527,0.68169,0.94836,0.91537,0.88727,0.9342,0.74224,0.81361,0.52492,0.93612,0.000440408,0.000440408,0.000440408
23,585.168,0.7917,0.69732,0.95063,0.909,0.84825,0.92629,0.75379,0.81257,0.51442,0.93327,0.000434903,0.000434903,0.000434903
24,609.957,0.77089,0.68381,0.94431,0.87826,0.90302,0.93186,0.73836,0.83499,0.52577,0.93255,0.000429399,0.000429399,0.000429399
25,634.745,0.77301,0.67405,0.94548,0.89067,0.87754,0.92129,0.7434,0.79409,0.51286,0.92783,0.000423894,0.000423894,0.000423894
26,659.4,0.76861,0.66087,0.94707,0.87177,0.91329,0.93049,0.74922,0.80577,0.49364,0.93156,0.00041839,0.00041839,0.00041839
27,683.738,0.75267,0.64902,0.93807,0.88324,0.87011,0.92658,0.75698,0.77371,0.49415,0.92076,0.000412886,0.000412886,0.000412886
28,708.562,0.75409,0.63719,0.93465,0.9271,0.88152,0.94747,0.7666,0.77355,0.48552,0.92515,0.000407381,0.000407381,0.000407381
29,734.257,0.74803,0.64008,0.93427,0.92169,0.90608,0.95833,0.78623,0.77176,0.4709,0.9125,0.000401877,0.000401877,0.000401877
30,759.991,0.73426,0.62658,0.92872,0.92626,0.86801,0.94817,0.75797,0.76983,0.47111,0.91793,0.000396372,0.000396372,0.000396372
31,784.457,0.72501,0.61793,0.92072,0.91442,0.90634,0.94001,0.77701,0.76924,0.46092,0.9089,0.000390868,0.000390868,0.000390868
32,809.058,0.72929,0.60886,0.92745,0.96857,0.87565,0.94676,0.78138,0.76858,0.45623,0.90708,0.000385364,0.000385364,0.000385364
33,833.501,0.71941,0.58996,0.924,0.92196,0.90499,0.95166,0.7914,0.74258,0.43922,0.90288,0.000379859,0.000379859,0.000379859
34,858.12,0.72181,0.59959,0.9246,0.92859,0.90026,0.94602,0.79056,0.72151,0.4382,0.90071,0.000374355,0.000374355,0.000374355
35,882.829,0.70393,0.59034,0.92986,0.93046,0.88747,0.95037,0.78879,0.72863,0.42925,0.90504,0.00036885,0.00036885,0.00036885
36,907.38,0.70674,0.58546,0.92101,0.96003,0.89689,0.9423,0.7776,0.72405,0.44057,0.90292,0.000363346,0.000363346,0.000363346
37,931.791,0.69899,0.58635,0.92035,0.90088,0.87824,0.9329,0.78028,0.73818,0.45135,0.90543,0.000357842,0.000357842,0.000357842
38,956.529,0.67507,0.56593,0.91204,0.94844,0.91409,0.964,0.79406,0.72463,0.42524,0.90268,0.000352337,0.000352337,0.000352337
39,980.97,0.68933,0.57114,0.91658,0.94499,0.90148,0.94741,0.78926,0.74442,0.42858,0.90879,0.000346833,0.000346833,0.000346833
40,1005.55,0.68182,0.5624,0.91647,0.90663,0.90841,0.94123,0.79259,0.71938,0.42733,0.89695,0.000341328,0.000341328,0.000341328
