epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7078,1.26865,4.66614,1.06767,0.00079,0.16742,0.00045,0.00028,2.58998,inf,4.79662,0.000662338,0.000662338,0.000662338
2,41.6765,1.20739,0.95134,1.06876,0.90226,0.87718,0.93082,0.61787,1.08876,0.77152,1.02889,0.00128515,0.00128515,0.00128515
3,58.8714,1.17168,0.78344,1.04365,0.95498,0.75566,0.8479,0.58521,1.11483,1.01368,1.03368,0.00186396,0.00186396,0.00186396
4,75.9549,1.16573,0.77448,1.03216,0.90826,0.80543,0.87481,0.60263,1.08166,nan,1.01698,0.001802,0.001802,0.001802
5,93.119,1.07178,0.68004,1.01878,0.90791,0.89217,0.93547,0.66589,1.02613,0.61358,1.00172,0.001736,0.001736,0.001736
6,110.686,1.05826,0.67564,0.99491,0.96066,0.88385,0.93912,0.64748,1.06965,0.59793,1.0054,0.00167,0.00167,0.00167
7,128.353,1.03531,0.63667,0.9842,0.92986,0.89982,0.9336,0.66736,0.98737,0.55869,0.97799,0.001604,0.001604,0.001604
8,145.98,1.0329,0.61688,0.98486,0.94151,0.9095,0.94817,0.68788,1.0244,0.5662,0.99712,0.001538,0.001538,0.001538
9,163.394,1.0312,0.61105,0.98432,0.93159,0.93213,0.95423,0.68833,0.9903,0.50057,0.97239,0.001472,0.001472,0.001472
10,180.88,0.98158,0.54869,0.96167,0.96678,0.92182,0.95568,0.6784,1.017,0.48729,0.97699,0.001406,0.001406,0.001406
11,198.299,0.94327,0.52164,0.95795,0.97572,0.90934,0.95479,0.7068,0.93569,0.48171,0.9448,0.00134,0.00134,0.00134
12,216.063,0.93978,0.52904,0.9435,0.96545,0.91855,0.95214,0.71575,0.9259,0.47031,0.93988,0.001274,0.001274,0.001274
13,233.133,0.90973,0.50128,0.94036,0.97414,0.93665,0.95356,0.71749,0.91401,0.47743,0.93763,0.001208,0.001208,0.001208
14,250.21,0.91403,0.51712,0.94096,0.97163,0.92994,0.97006,0.71812,0.90989,0.46285,0.93668,0.001142,0.001142,0.001142
15,267.455,0.8939,0.47501,0.9367,0.95315,0.9276,0.95409,0.73067,0.85731,0.44997,0.92022,0.001076,0.001076,0.001076
16,284.515,0.87968,0.47855,0.9438,0.95901,0.94118,0.96717,0.7439,0.84151,0.44121,0.91391,0.00101,0.00101,0.00101
17,301.428,0.85875,0.46132,0.91468,0.97156,0.93665,0.9683,0.74137,0.87684,0.45766,0.92114,0.000944,0.000944,0.000944
18,318.666,0.85539,0.44493,0.92138,0.97042,0.9276,0.96742,0.74567,0.8557,0.44347,0.90959,0.000878,0.000878,0.000878
19,336.193,0.84407,0.45753,0.92407,0.97169,0.93187,0.97471,0.75449,0.84168,0.42185,0.9108,0.000812,0.000812,0.000812
20,353.678,0.8241,0.42831,0.90727,0.97202,0.94329,0.96407,0.74497,0.86794,0.42523,0.91548,0.000746,0.000746,0.000746
21,372.135,0.84432,0.42313,0.94223,0.96174,0.95475,0.97399,0.734,0.86631,0.42367,0.91787,0.00068,0.00068,0.00068
22,389.059,0.81724,0.40443,0.92893,0.97166,0.93069,0.97649,0.75128,0.83998,0.40466,0.90357,0.000614,0.000614,0.000614
23,405.919,0.80576,0.40443,0.92219,0.97205,0.94437,0.96924,0.75882,0.82131,0.40352,0.90144,0.000548,0.000548,0.000548
24,423.104,0.79289,0.37903,0.91127,0.97192,0.93975,0.97874,0.75035,0.83368,0.40051,0.90831,0.000482,0.000482,0.000482
25,439.975,0.80895,0.37702,0.92067,0.9722,0.94942,0.97547,0.75962,0.82942,0.39549,0.89871,0.000416,0.000416,0.000416
26,457.119,0.7806,0.37239,0.91396,0.96799,0.95798,0.97902,0.76219,0.79772,0.39229,0.89478,0.00035,0.00035,0.00035
27,474.333,0.75554,0.35318,0.9009,0.97211,0.94619,0.97476,0.77222,0.81833,0.39699,0.89551,0.000284,0.000284,0.000284
28,491.396,0.76107,0.35853,0.9016,0.97159,0.95475,0.97863,0.77718,0.78471,0.38699,0.88718,0.000218,0.000218,0.000218
29,508.37,0.75224,0.35392,0.89985,0.96781,0.9524,0.97546,0.77395,0.81127,0.3861,0.89653,0.000152,0.000152,0.000152
30,525.413,0.73766,0.34508,0.89547,0.95761,0.9638,0.98143,0.78084,0.78063,0.3792,0.88599,8.6e-05,8.6e-05,8.6e-05
